,ct,cos,covid19,cos
0,two,0.9930449724197388,pandem,0.9997302293777466
1,mani,0.9927194714546204,viru,0.999701201915741
2,world,0.9926022291183472,report,0.9996843338012695
3,like,0.9925325512886047,pneumonia,0.9996433854103088
4,overal,0.992517352104187,human,0.9996249079704285
5,organ,0.9924731254577637,pathogen,0.999607503414154
6,evid,0.9924600124359131,death,0.9996028542518616
7,major,0.99245285987854,respons,0.9996005296707153
8,australia,0.9924247860908508,recent,0.9995949268341064
9,begin,0.9924246668815613,worldwid,0.9995884895324707
10,recent,0.9923906326293945,epidem,0.9995749592781067
11,spread,0.9923601150512695,global,0.9995748400688171
12,day,0.9923547506332397,origin,0.9995701909065247
13,epidem,0.9923356175422668,spread,0.9995667934417725
14,base,0.9923219680786133,sinc,0.9995003938674927
15,efficaci,0.9923182725906372,new,0.9994984865188599
16,highli,0.9923138618469238,first,0.9994831681251526
17,similar,0.9923132658004761,emerg,0.9994692802429199
18,emerg,0.9923084378242493,world,0.9994558691978455
19,coronavirus,0.9923059344291687,threat,0.9994536638259888
20,current,0.9922956824302673,infect,0.9994530081748962
21,regard,0.9922698736190796,coronavirus,0.999448299407959
22,medic,0.9922654032707214,cov,0.999444305896759
23,clinician,0.9922561645507812,like,0.9994218945503235
24,due,0.9922488331794739,health,0.999413013458252
25,worldwid,0.9922459721565247,associ,0.9994054436683655
26,sinc,0.9922430515289307,rapidli,0.9993870258331299
27,potenti,0.9922428131103516,case,0.999367356300354
28,result,0.9922415018081665,patient,0.9993633031845093
29,guidelin,0.9922400116920471,term,0.9993448257446289
30,mode,0.9922347068786621,symptom,0.9993443489074707
31,report,0.9922336339950562,transmiss,0.9993312358856201
32,viru,0.9922327995300293,countri,0.9993283748626709
33,death,0.9922275543212891,highli,0.9993249773979187
34,threat,0.9922272562980652,follow,0.9993242025375366
35,inform,0.9922165870666504,occur,0.9993191957473755
36,set,0.9922112226486206,epidemiolog,0.9993146061897278
37,research,0.992201030254364,ill,0.9993085265159607
38,epidemiolog,0.9921904802322388,sar,0.999308168888092
39,import,0.9921759963035583,infecti,0.999303936958313
40,within,0.9921736717224121,similar,0.9993009567260742
41,modul,0.9921606183052063,organ,0.9992880821228027
42,pandem,0.9921592473983765,concern,0.999279260635376
43,first,0.9921550154685974,public,0.999275803565979
44,human,0.9921544790267944,known,0.9992701411247253
45,time,0.9921529293060303,late,0.9992672204971313
46,data,0.9921512603759766,around,0.9992637634277344
47,contain,0.9921506643295288,sarscov2,0.9992563128471375
48,manag,0.9921447038650513,identifi,0.9992474317550659
49,number,0.992143452167511,may,0.9992459416389465
50,intervent,0.9921351075172424,hydroxychloroquin,0.999241828918457
51,term,0.9921332597732544,day,0.9992356300354004
52,genet,0.9921314120292664,still,0.9992338418960571
53,environ,0.9921145439147949,detect,0.9992330074310303
