,ct,cos,bat,cos
0,disord,0.7419894933700562,2019ncov,0.9979430437088013
1,dynam,0.7398926615715027,infect,0.9977238178253174
2,environment,0.7391213774681091,sarscov2,0.9977138042449951
3,rapidli,0.7390093803405762,host,0.997616708278656
4,safeti,0.7361915707588196,viru,0.997570276260376
5,put,0.7346495985984802,similar,0.9975415468215942
6,storm,0.7344596982002258,includ,0.9974587559700012
7,till,0.7335211634635925,virus,0.9974575042724609
8,conclus,0.7329802513122559,use,0.9974353909492493
9,level,0.7325413227081299,sarscov,0.997329831123352
10,genet,0.7315916419029236,sequenc,0.9973294734954834
11,medic,0.731277346611023,coronaviru,0.9972691535949707
12,worldwid,0.7305582761764526,transmiss,0.9971435070037842
13,homolog,0.7305514812469482,outbreak,0.9971383810043335
14,rbd,0.7303799390792847,suggest,0.9971237778663635
15,place,0.7301099300384521,case,0.9969871044158936
16,dental,0.7300575971603394,provid,0.9969844818115234
17,region,0.7289801836013794,genom,0.9969573020935059
18,concern,0.7288601994514465,viral,0.996775209903717
19,new,0.7287086248397827,confirm,0.9967479109764099
20,abil,0.7286659479141235,result,0.9967340230941772
21,period,0.7279958724975586,coronavirus,0.9966986179351807
22,care,0.7272558212280273,treatment,0.996674656867981
23,especi,0.7272540330886841,global,0.996628999710083
24,cytokin,0.7268551588058472,patient,0.9966259598731995
25,may,0.7266448736190796,recent,0.9966224431991577
26,incub,0.7265765070915222,origin,0.9965528249740601
27,complic,0.7264823913574219,anim,0.9965441823005676
28,question,0.7263234853744507,strain,0.9964854717254639
29,pathogen,0.7257221937179565,natur,0.9964770078659058
30,chang,0.725656270980835,human,0.9964434504508972
31,practic,0.7253959774971008,identifi,0.996441125869751
32,fatal,0.7252641320228577,covid19,0.9964355826377869
33,among,0.7252209186553955,2020,0.9964280128479004
34,suggest,0.7251148223876953,two,0.9964045286178589
35,sourc,0.7248960733413696,speci,0.9963415265083313
36,cellular,0.7247750759124756,emerg,0.9962979555130005
37,avail,0.7247190475463867,clinic,0.9962779879570007
38,receptorbind,0.7245161533355713,novel,0.9962252378463745
39,contact,0.7242863178253174,china,0.9962199926376343
40,present,0.7242602109909058,review,0.9961885213851929
41,global,0.7241525053977966,current,0.996112585067749
42,furthermor,0.7241266965866089,death,0.9961116313934326
43,origin,0.7240564227104187,report,0.9960552453994751
44,gener,0.7239353656768799,differ,0.9960228204727173
45,organ,0.7237675189971924,wuhan,0.9960010647773743
46,2019,0.7231907844543457,may,0.9960005879402161
47,world,0.7231769561767578,also,0.9959860444068909
48,appear,0.7231407761573792,ace2,0.9959496259689331
49,intern,0.7231038212776184,genet,0.9959489107131958
50,evolv,0.7231016159057617,epidem,0.9959365129470825
51,show,0.7230242490768433,bind,0.9959232807159424
52,2020,0.7228917479515076,analysi,0.9959186315536499
53,result,0.7227628827095032,show,0.995911717414856
54,novel,0.7227354049682617,receptor,0.9959094524383545
55,drug,0.7227253913879395,cov,0.9959094524383545
56,report,0.7222555875778198,structur,0.9958728551864624
57,2019ncov,0.7220118045806885,sar,0.9958450794219971
58,cpg,0.7219566106796265,caus,0.9957645535469055
59,day,0.7218459844589233,effect,0.9957543611526489
60,sarslik,0.7218037843704224,pangolin,0.9957303404808044
61,search,0.7217913866043091,spike,0.9957028031349182
62,develop,0.7217525839805603,develop,0.9955555200576782
63,sarscov,0.7214996814727783,antivir,0.9955301880836487
64,spike,0.7213980555534363,phylogenet,0.995465099811554
65,known,0.7213153839111328,betacoronaviru,0.9954639077186584
66,zoonot,0.7211413383483887,spread,0.9954057931900024
67,hcov,0.7211097478866577,sever,0.9953945279121399
68,collect,0.7210720777511597,drug,0.9953905940055847
69,deriv,0.7209606766700745,close,0.9953569769859314
70,popul,0.7208980917930603,2019,0.9952396154403687
71,exist,0.7208478450775146,studi,0.9951549768447876
72,market,0.7208316326141357,epidemiolog,0.9951110482215881
73,first,0.7207207679748535,potenti,0.9950432181358337
74,variou,0.7207087874412537,evolut,0.9950038194656372
75,covid19,0.7206631898880005,world,0.9948870539665222
76,infect,0.7206107974052429,diseas,0.9948709607124329
77,two,0.720491886138916,high,0.9948196411132812
78,review,0.7204004526138306,prevent,0.994819164276123
79,analysi,0.7203949093818665,protein,0.9947057962417603
80,total,0.7203378677368164,howev,0.9946739673614502
81,confirm,0.7202918529510498,health,0.9946519136428833
82,uniqu,0.7202855348587036,pneumonia,0.9945855140686035
83,2,0.7202656269073486,investig,0.9944378137588501
84,symptom,0.7202189564704895,data,0.9944090843200684
85,spread,0.7201884388923645,new,0.9943957328796387
86,recent,0.7200638651847839,symptom,0.9943792819976807
87,patient,0.7199468612670898,time,0.9942858815193176
88,pneumonia,0.7198710441589355,zoonot,0.9942108988761902
89,sarscov2,0.7198622226715088,cell,0.9940999746322632
90,antivir,0.7198152542114258,vaccin,0.9940488338470459
91,china,0.7196857929229736,model,0.9940470457077026
92,effect,0.7196663618087769,pandem,0.9938409328460693
93,studi,0.7195850610733032,intermedi,0.9937688708305359
94,sequenc,0.7195602655410767,countri,0.9936618804931641
95,articl,0.7195419073104858,isol,0.9935956001281738
96,human,0.7194501161575317,mani,0.9935517907142639
97,biolog,0.7193588614463806,amino,0.9934464693069458
98,major,0.7190603613853455,respiratori,0.9934276342391968
99,common,0.7190223932266235,pathogen,0.993425190448761
100,mani,0.7188815474510193,like,0.9934195876121521
