,title,Background,Methods,Results,Conclusion
0,Thermic ablation with RF of liver metastases from colorectal cancer,"Despite advances in screening procedures and the use of adjuvant therapy, approximately 50% of patients with colorectal cancer will develop metastatic disease. Surgical resection is now well accepted as the standard treatment for the liver metastases from colorectal cancer but tumour ablative techniques have been developed in recent years. The goal is to use them in patients with hepatic metastases, which are not totally resectable.Aim of this study was to evaluate the role of radiofrequency ablation in the treatment of the hepatic metastasis of colorectal cancer (CRC).","From November 2005 to July 2007 49 radiofrequency ablations have been performed in 19 patients (11 male and 8 female; mean age 65 years: range 50–78 years). The disease-free period was between 5 and 32 months. Hepatic nodules had a diameter inferior to 3 cm in 4 cases, while in 3 cases a single lesion was present. One patient had a single lesion after 2 courses of intravenous systemic chemotherapy, which had a reduced greater lesion (from 6 to 3 cm) while a 2 cm lesion had disappeared. In the remaining 12 patients the mean number of lesions is 3 (range 1–13) with a diameter between 3 and 12 cm. The radiofrequency ablation has been performed during laparotomy and vascular exclusion through clampage of the liver hilum in 4 cases and percutaneously under ultrasound guide in the remaining 15 cases.All patients underwent follow up by CT scan, CEA level and ultrasound every 3 months.",One patient only has completed a 4 year follow up and is alive without local recurrence but with a cerebral metastasis. The other 18 patients have a 32 months follow-up with a survival of 50% (9 on 18).,"Percutaneous, image guided, tumour ablation with thermal energy source, microwaves or laser has received increasing attention permitting the destruction of tumours without necessitating their removal and in many cases can be used in place of invasive and expensive techniques.Radiofrequency current, converted into heat through ion agitation and friction, can destroy liver tumours by means of coagulation necrosis.In clinical grounds RF ablation has been used for the treatment of different neoplasms including osteoid osteoma, hepatocellular carcinoma, renal cells carcinoma, hyperfunctioning adenoma and hepatic, cerebral and retroperitoneal metastases from several primary tumours.In conclusion in our experience the radiofrequency ablation is a valid alternative method in the treatment of the hepatic metastasis of colorectal cancer."
1,Our experience in surgery for colorectal cancer in elderly patients,"The effectiveness of surgery for colorectal cancer depends on it being carried out safely, which allows most patients to return to productive lives. Since colorectal cancer is a major cause of morbidity and mortality in elderly people [1], this study was designed to evaluate the outcomes of surgery in elderly patients.","In the period 1973-2003, in our institution, we surgically managed 931 patients for colorectal cancer; 48 patients, 28 males and 20 females, aged 80 years and over (mean age 83.7 years). The tumor was located in the left colon in 20 cases (41.6%), in the rectum in 11 (22.9%) and in the right colon in 17 patients (35.4%). 33 patients (68.7%) were treated with colonic resection and primary anastomosis, 8 (16.6%) with Hartmann resection, 5 (10.4%) with colostomy, 1 (2%) with abdominal perineal resection and 1 (2%) with anastomosis between ileum and transverse colon without resection. The stage was A in 7 patients, B in 22, C in12 and D in 7.","The operative mortality rate was 0. The infection of the surgical wound occurred in 10 patients, whereas 4 cases of bronchopneumonia took place (8.3%). We had also registered 1 anastomotic leak in a male patient with left colon cancer (2.08%). The median hospital stay was 13.1 days (range 9-22 days) and the 5 year survival was 56.2% (27/48). No patients had adjuvant therapy","This study demonstrates that surgery should not be denied to elderly patients with colorectal cancer; age is not a limitation for surgery, tumour stage and co-morbidity define the surgical treatment [2]. The morbidity and mortality figures for elective procedures are not different from the younger age population and favourable long-term outcome can be achieved by resectional surgery [3]. Diagnostic methods, rate of curative operations performed, staging, morbidity rate and 5-year survival rate are similar to younger patients. Finally the behaviour of colorectal carcinoma does not change with age and the age has no effect on the long-term survival of elderly patients."
2,The surgical treatment of colorectal cancer in patients over seventy-five years old. Risk factor analysis in patients operated in election and in emergency,"The colorectal cancer has a high incidence and mortality in the geriatric population. However the advanced age does not represent a contraindication for the surgery, and a radical cancer surgical treatment guarantees the same life expectation of younger patients. In this study we analyzed the correlation between comorbidities, postoperative complications and mortality.","In our retrospective study we analyzed the clinical notes of 66 patients over 75 years.We assessed the risk factors of the surgical treatment in the elective and emergency management. Among the 47 patients electively treated, 33 were affected by cardiocirculatory diseases, 23 by kidney diseases, 14 by metabolic and endocrine diseases, and 11 patients by respiratory diseases. In the 19 patients, who underwent emergency surgery, 75% had intestinal obstruction, and 25% had intestinal perforation.In election were performed 14 anterior resection of rectum, 7 abdomino-perineal resections, 4 Hartmann procedures, 11 left hemicolectomies, 8 right hemicolectemies and 3 explorative laparotomies. In emergency were performed 5 ileostomies, 3 colostomies, 5 left hemicolectomies, 3 right hemicolectomies, 2 Hartmann procedures, and 1 explorative laparotomy.","In elective surgery the complications were represented by suppuration of surgical wound (21.2% of cases), cystitis (21.2% of cases), bronchopneumonia (6.3% of cases), dehiscence of the anastomosis (2.1% of cases), thrombophlebitis of the lower limbs (2.1% of cases). In emergency the complications were represented by suppuration of the surgical wound in 60% of cases, arrhythmias in 21% of cases, and acute renal failure in 5%. In both elective and emergency surgery for patients without comorbidities there were not deaths. The mortality in patients with comorbidities was 2.1% in elective surgery and 26.5% in emergency surgery.In election the comorbidities strictly related to the post-operative complications and mortality were the renal diseases, while the cardiocirculatory diseases influenced on post-operative complications only.Contrary, in emergency the cardiocirculatory diseases influenced significantly the post-operative complications and mortality, while the renal diseases influenced only the post-operative complications.","The colorectal cancer in advanced age does not present different characteristics from younger age. Because of the more accurate pre-operative and post-operative therapies it is possible to give geriatric patient the same radical surgery as younger patients. Particularly in elective surgery, thanks to an adequate preoperative preparation, the comorbidities can be corrected ensuring the same prognostic result of younger patients. Contrary in emergency, a considerable disagreement persists in terms of prognosis between geriatric patients and younger patients. This is related to the impossibility of performing an adequate pre-operatory preparation."
3,Predictive value of IL-6 and IL-10 serum levels in anastomotic leakage in elderly patients undergoing surgery for colorectal cancer,"Elderly patients undergo surgery for colorectal cancer more often than younger patients because of the incidence and prevalence of colon and rectal cancer (CRC).Anastomotic leakage is the most feared complication after surgery because it impairs postoperative survival, disease free survival rate and recurrence.A recent meta-analysis shows that interleukin IL-6 and IL-10 intraperitoneal levels may be a useful marker to predict the likelihood to anastomotic leakage. Furthermore, the variations of cytokines levels are similar both in serum and intraperitoneal fluid, despite there is a quantitative difference between peritoneal and systemic concentrations.For this reason in our Department a prospective study is ongoing to assess if systemic interleukin IL-6 and Il-10 are a reliable marker to predict anastomotic leakage.","The study group is yet represented by 33 patients: 17 males and 16 females (median age 76, range 70–89). The location of cancer was respectively: 5 (15, 15%) in the rectum, 15 (45, 45%) in the left colon, 11 (33, 33%) in the right colon, 1 (3, 3%) in the transverse colon, 1 (3, 3%) synchronous in the caecum and the sigmoid colon.The associated diseases observed were: chronic obstructive pulmonary disease, hypertension, diabetes mellitus, ischemic heart disease arterial vasculopathy.The surgical operations performed were respectively: 11 left colectomies, 8 right colectomies, 2 subtotal colectomies, 6 segmental resections, 3 anterior resections, 1 bypass anastomosis, 2 abdominoperineal excisions. In our study group we made 31 digestive anastomoses.Systemic measurements of IL-6, IL-10, C-reactive protein (CRP), lymphocytes and serum albumin were performed with ELISA in the preoperative period (t0), in the first (t1) and seventh postoperative day (t2).","In the study group 32 anastomoses were made and we observed only one (3.2%) anastomotic leakage. The CRP serum levels (mg/l) were: t0 24.63 ± 4.17, t1 25.62 ± 5.63, t2 21.5 ± 4.41 in complicated patients and t0 24.64 ± 5.18, t1 24.4 ± 7.15, t2 22.4 ± 7.99 in uncomplicated ones. IL-6 serum levels (pg/ml) were: t0 8.13 ± 3.31, t1 145.87 ± 88.62, t2 19.75 ± 23.56 in complicated patients and t0 6.74 ± 4.9, t1 118.36 ± 57.64, t2 19.32 ± 15.08 in uncomplicated ones. IL-10 serum levels (pg/ml) were: t0 4.63 ± 2.13, t1 19.52 ± 8.38, t2 5.75 ± 4.23 in complicated patients and t0 16.92 ± 18.10, t1 20.28 ± 18.18, t2 5.2 ± 2.61 in uncomplicated ones. Albumin serum levels (g/dl) were: t0 3.68 ± 0.42, t1 2.34 ± 0.70, t2 2.85 ± 0.83 in complicated patients and t0 3.71 ± 0.60, t1 2.82 ± 0.54, t2 3.30 ± 0.53 in uncomplicated ones. Lymphocytes (n°/μl) were. T0 2315.7 ± 854.5, t1 864.28 ± 404.18, t2 1502.85 ± 441.57 in complicated patients and t0 1580 ± 684.79, t1 920 ± 407.55, t2 1312.30 ± 415.15 in uncomplicated ones. These values and their variations are showed in Figures 1, 2, 3, 4, 5.Figure 1Figure 2Figure 3Figure 4Figure 5","Recent studies show that preoperative IL-6 and IL-10 serum levels are higher in patients with colorectal cancer than in control patients.Our study is still ongoing and it suggests that the measurement of cytokines serum levels is not useful in predicting anastomotic leakage. Despite this, we want to investigate, in particular, the role of IL-10. This cytokine influences the T-helper linked immunological response (suppression activity) and it may have a role in favoring anastomotic leakage. However, because the study is still ongoing, we need to evaluate more data to investigate the role of cytokines in anastomotic leakage."
4,N0 colorectal cancer in the elderly: prognostic role of advanced age and correlation with adjuvant chemotherapy,The aim of this study is to assess the possible prognostic role of age in the risk of relapse in patients operated for N0 colorectal cancer and if this role is confirmed in a control population who underwent adjuvant chemotherapy.,"129 patients who underwent radical surgery for N0 colorectal cancer were selected and grouped into three age classes: <65 years, between 65 and 80, >80.A subpopulation of 44 patients with colorectal cancer in stage II was selected from the initial group for a comparison with a control population consisting of 63 patients who underwent radical surgery and adjuvant chemotherapy for neoplasms at the same stage.","In the population of 129 patients, the only significant correlation between age and clinical-pathological features is between advanced age (>80yr) and tumor location in the right colon (53.7%, p=0.04).Risk of relapse is related both to depth of tumor invasion (42.9% in stage T4, 6.3% in stage T1, p=0.01) and advanced age (19.5% in >80yr, 4% in <65yr).Overall survival (OS) and disease free survival (DFS) are significantly lower in patients aged over 80 than the other two classes. This significance is maintained by stratifying the 129 patients in the two age classes (<70, >70).In the multivariate analysis age > 80yr is significantly correlated with an increased risk of relapse.Evaluating the control group no significant correlation between relapse and clinical-pathological features was detected.In the multivariate analysis in stage II population, advanced age doesn’t play any significant prognostic role in the risk of recurrence, while a reduction in DFS is related to depth of tumor invasion and the number of examined lymph nodes (<12).","The negative prognostic role of advanced age in the risk of relapse that emerges from the first part of the study is certainly related to the increased fragility of elderly patients, which might be caused by several pathophysiological factors hypothesized by several Authors, but does not appear to be a controindication for surgery.The comparison between only-operated patients and control ones in stage II neoplasm doesn’t show a prognostic role for advanced age in the risk of relapse.This could be attributed to several factors, first of all the lack of subjects enrolled in the study, because of the controversial role of age in stage II candidates for adjuvant chemotherapy.However we cannot exclude that adjuvant chemotherapy could affect the role of age as a prognostic factor."
5,The role of surgery for colorectal cancer in octogenarians,"Colorectal cancer (CRC) is the third most common cancer for both sexes; prognosis of CRC is strictly related with stage. Previous studies have suggested that elderly patients do not fare well after surgery for CRC, with high rates of emergency presentations, inoperability and perioperative mortality and decreased overall survival. Recent reports, however, have recommended applying the standard surgical approach in the elderly. The aim of our study was to assess the characteristics and perioperative morbidity and mortality in patients following CRC surgery and to analyse the specific outcomes in the elderly.","From July 2003 to December 2007 we retrospectively analyzed 499 consecutive patients who underwent surgery for CRC at our Institution. Risk factors included sex, age, cancer localization, Dukes' and TNM classification, blood transfusion, and mode of presentation. Primary outcome was perioperative death.","The study consisted of 268 men and 231 women with a mean age of 77.4 years. 248 patients (57%) were more than 75 years of age. The latter had tumors that were predominantly right-sided in location with a high incidence of advanced Dukes' stage tumors. Moreover, larger number of these elderly patients presents as emergencies (10.5% Vs 4.6%). We have registered a preoperative mortality score of 1.9% in elective procedures and 15% in emergencies with differences among the age groups (p = Not Significant).","Historically, it was suggested that elderly patients do not fare well after surgery for colorectal cancer. Recent report, however, have recommended a standard surgical approach for this group of patients. Our data strongly suggest an important role in perioperative resuscitation, fluid balance and osmolality avoiding dehydration and intestinal ischemia. The analysis of the literature reveals that a large proportion of elderly patients survive for 5 years or more following CRC resection. The results of our study support the view that elective CRC resection in the elderly population is worthwhile and should be performed for the same indications as younger patients. Resection should still be the first choice of treatment for elderly CRC patients. Our study renews this statement showing, in elective procedure, no perioperative mortality in under 75 s and a value of 3.1% in over 75 s. Resectional surgery in elderly patients is justified because it has been shown that old age per se is not an independent prognostic factor for surgery, although it is a significant factor for short-term morbidity and survival as we have reported."
6,Characterisation of E12/E47 expression in colorectal cancer,"In the Western world colorectal cancer is one of the leading causes of cancer-related mortality, and the second most common cancer in women and the third in men. Identification of prognostic markers capable of predicting patient response to chemotherapy is essential to determine more personalised and efficient treatment strategies in colorectal cancer, and may help identify novel therapeutic targets. The aim of the study was to characterise the expression of the E2A transcriptional regulator proteins, E12/E47 (also known as TCF-3 or E2A) in colorectal cancer patient tissue samples. Primarily E12/E47 antibody optimisation was required to allow us to subsequently examine E12/E47 protein expression in colorectal cancer tissue and investigate any correlation with patient outcome.",Candidate antibodies directed against the E12/E47 protein were first evaluated by western blotting and densitometry assays on four different types of human colon cancer cell lines. Surgically resected colorectal tumours were obtained from 198 patients presenting with Dukes B and C colorectal cancer. Tissue microarrays were constructed from Formalin-Fixed Paraffin-Embedded samples. Tissue microarrays were then stained with varying dilutions of the candidate antibodies to establish a reliable and reproducible staining protocol.,"In order to optimise the E12/E47 staining on tissue samples, two different antibodies, a rabbit monoclonal TCF-3 antibody (Cell Signaling) and a rabbit polyclonal E2A antibody (Santa Cruz) were used. Serial dilutions of these antibodies were made to determine the optimal concentration of antibody to use. Using immunohistochemistry, the first antibody did not detect any specific signal while a nuclear/cytoplasmic localisation of E12/E47 was identified in some tissue samples using the E2A antibody. This staining was scored in line with the Allred Immunohistochemistry Scoring system.",Via antibody and protocol optimisation we were able to establish a protocol to specifically identify E12/E47 protein in human colorectal cancer tissue microarrays. This enables us to identify whether a correlation between E12/E47 expression in colorectal cancer patient tissue exists and whether it expression is linked to tumour aggressiveness. The identification of novel colorectal cancer markers may be relevant for diagnosis and treatment of cancer patients.
7,Discovery of molecular determinants of response to targeted therapies in colorectal cancer using patient-derived xenografts (‘xenopatients’),"Only a fraction of patients with metastatic colorectal cancer (mCRC) receive clinical benefit from therapy with anti-epidermal growth factor receptor (EGFR) antibodies. Gene mutations along the Ras pathway (KRAS, NRAS, BRAF, PIK3CA) correlate with poor response to anti-EGFR antibodies.","By implantation and serial propagation in NOD/SCID mice, we produced large xenograft cohorts from 85 patient-derived mCRC samples (""xenopatients"").","Xenopatients retained the histological and genomic features of the original counterparts, responded to the anti-EGFR antibody cetuximab similarly to clinical observations, and could be prospectively stratified as responders or nonresponders based on predictive biomarkers. Genotype-response correlations indicated HER2 amplification specifically in a subset of cetuximab-resistant, KRAS/NRAS/BRAF/PIK3CA wild-type cases. In this subset, combined HER2/EGFR inhibition induced long-lasting tumor regression. We also assessed the effects of MEK and PI3K/mTor inhibitors (AZD6244 and BEZ235 respectively) in 40 specimens harboring KRAS/ NRAS/BRAF/PIK3CA mutations. Cotreatment of xenografts with AZD6244+BEZ235 induced disease stabilization in the majority of cases (70%) but did not lead to tumor regression. Monotherapy was less effective, with BEZ235 displaying higher activity than AZD6244. Triple therapy with cetuximab provided further advantage. The extent of disease control declined upon prolonged treatment.",Our preclinical platform prospectively recapitulated biomarker-based case stratification and was instrumental in identifying HER2 as a predictor of resistance to cetuximab and of response to combination therapies against HER2 and EGFR. The prevalent growth-suppressive effects produced by MEK and PI3K/mTOR inhibition suggest that this strategy may retard disease progression in KRAS-mutant mCRC patients.
8,Complications after surgery in patients with colorectal cancer: the evidence for nursing care,"Patients with colorectal cancer undergoing surgical treatment require planning and preparation of interventions for prevention of postoperative complications, especially considering the complexity and commitment of its clinical and psychosocial condition.",To identify and synthesize the factors that influence the occurrence of postoperative complications and establish the implications of these scientific evidence for nursing care.,"It is an integrative review of literature where descriptors were used, wound, colorectal cancer and complications with search in the databases Medline, CINAHL and Lilacs, resulting in a sample of 10 scientific articles.","Results indicated that the preoperative bowel preparation, staging and tumor location, surgical technique and care of the wound in the postoperative period as the factors influencing the occurrence of postoperative complications."
9,Distinct gene expression signatures in Lynch syndrome and familial colorectal cancer type X,Heredity is estimated to cause at least 20% of colorectal cancer. The hereditary nonpolyposis colorectal cancer (HNPCC) subset is divided into Lynch syndrome and familial colorectal cancer type X (FCCTX) based on presence of mismatch repair gene defects. We addressed the gene expression signatures in colorectal cancer linked to Lynch syndrome and FCCTX with the aim to identify diagnostic discriminators and to map signaling pathways relevant to hereditary colorectal carcinogenesis.,"RNA extracted from 123 colorectal cancers, including 39 Lynch syndrome tumors, 37 FCCTX tumors and 47 sporadic tumors was analyzed using the whole-genome c-DNA-mediated annealing, selection, extension, and ligation (WG-DASL) assay containing 18k genes, where after key targets were validated by real time quantitative RT-PCR (qRT-PCR).","Colorectal cancers linked to Lynch syndrome and FCCTX showed distinct gene expression profiles, which by significance analysis of microarrays (SAM) differed by 2188 genes. Functional pathways involved were related to G-protein coupled receptor signaling, oxidative phosphorylation, cell cycle function and mitosis and genes herein proved deregulated using qRT-PCR.",Distinct genetic profiles and deregulation of different canonical pathways apply to Lynch syndrome and FCCTX and key targets herein may be relevant to pursue in relation to refined diagnostic and therapeutic strategies for hereditary colorectal cancer.
