,ct,cos,2003,cos
0,nonus,0.34852588176727295,sarscov2,0.997121274471283
1,percept,0.3216627240180969,cell,0.9968463182449341
2,till,0.3133701682090759,sarscov,0.9968408346176147
3,safeti,0.31240367889404297,use,0.9967451095581055
4,dynamiccontrast,0.3014049232006073,viru,0.9967109560966492
5,hold,0.29754766821861267,covid19,0.9965702295303345
6,storm,0.29119205474853516,first,0.9964995384216309
7,cov2,0.2799917459487915,transmiss,0.9963822960853577
8,sars1,0.2780608832836151,cov,0.9963670969009399
9,mode,0.2755136787891388,patient,0.9962401390075684
10,platform,0.27377772331237793,review,0.9962133765220642
11,regularli,0.27081573009490967,studi,0.9962116479873657
12,provok,0.2673160135746002,case,0.9961578845977783
13,contract,0.2654675245285034,develop,0.9961285591125488
14,bia,0.26396965980529785,coronaviru,0.9961246252059937
15,chosen,0.2636013627052307,sar,0.9961060881614685
16,abil,0.26349207758903503,outbreak,0.9960705041885376
17,peptid,0.2631375789642334,diseas,0.9960222244262695
18,escap,0.26228004693984985,2020,0.9960121512413025
19,complementaritydetermin,0.2622123956680298,may,0.9960038661956787
20,necess,0.26204925775527954,infect,0.9959846138954163
21,put,0.2613946497440338,china,0.9958689212799072
22,correspond,0.2610345184803009,model,0.9958387613296509
23,serum,0.2582034766674042,coronavirus,0.9958018064498901
24,softwar,0.257630854845047,similar,0.9957647919654846
25,elect,0.25722557306289673,global,0.9957596063613892
26,neuropatholog,0.25656962394714355,identifi,0.9956973791122437
27,place,0.2551307678222656,countri,0.995656430721283
28,gone,0.25247931480407715,human,0.9956423044204712
29,north,0.2501463294029236,clinic,0.9956125020980835
30,doserespons,0.24954433739185333,also,0.9955728054046631
31,subject,0.24830882251262665,sever,0.9954771995544434
32,batll,0.24706237018108368,epidem,0.9953873157501221
33,news,0.24634432792663574,effect,0.9953196048736572
34,staff,0.24549329280853271,result,0.995288074016571
35,spring,0.2439853996038437,associ,0.9951962232589722
36,nfkb,0.2414732575416565,pandem,0.9951212406158447
37,reason,0.24096718430519104,provid,0.9951083660125732
38,unfortun,0.24088309705257416,health,0.9950839281082153
39,metabol,0.24069149792194366,includ,0.9950677752494812
40,immunosensor,0.24054911732673645,emerg,0.9950615167617798
41,macrophag,0.2405036985874176,merscov,0.9949426651000977
42,interf,0.2399195432662964,2,0.9947943687438965
43,intend,0.23922836780548096,new,0.9947501420974731
44,task,0.2375858873128891,treatment,0.994742751121521
45,httpssistematxufpbbr,0.23741286993026733,death,0.9947006106376648
46,208,0.23661410808563232,report,0.9946979284286499
47,crossreact,0.23620139062404633,vaccin,0.9946933388710022
48,clopidogrel,0.23556149005889893,current,0.9946432113647461
49,nosocomi,0.2355346381664276,spread,0.9946232438087463
50,environment,0.2353399246931076,virus,0.9945809841156006
51,ethnic,0.23388434946537018,mer,0.9945241808891296
52,1142,0.23351547122001648,data,0.9944653511047363
