,ct,cos,imag,cos
0,chest,0.999596118927002,chest,0.9996169209480286
1,imag,0.9995057582855225,ct,0.9995057582855225
2,comput,0.9993845224380493,find,0.999491274356842
3,find,0.999372661113739,scan,0.9994534254074097
4,show,0.9993685483932495,laboratori,0.9994523525238037
5,tomographi,0.9993661642074585,manifest,0.9994035363197327
6,scan,0.999354362487793,show,0.9993933439254761
7,laboratori,0.9993099570274353,comput,0.9993890523910522
8,typic,0.9991703033447266,clinic,0.9993690848350525
9,analyz,0.9991117715835571,tomographi,0.9993690252304077
10,featur,0.999085545539856,data,0.9993249177932739
11,manifest,0.9990773797035217,featur,0.9993209838867188
12,bilater,0.9990692734718323,examin,0.9993199110031128
13,base,0.9990419149398804,typic,0.9993152022361755
14,diagnost,0.9990206360816956,patient,0.9992849826812744
15,also,0.9990181922912598,base,0.9992401003837585
16,data,0.999015212059021,demograph,0.9992367029190063
17,examin,0.9990087151527405,analyz,0.9992175102233887
18,clinic,0.998995840549469,diagnost,0.9992172122001648
19,rtpcr,0.9989866614341736,also,0.9992148876190186
20,normal,0.998985767364502,studi,0.9991998076438904
21,analysi,0.9989811182022095,radiolog,0.9991992712020874
22,patient,0.9989795684814453,multipl,0.9991862773895264
23,abnorm,0.9989789724349976,analysi,0.9991793632507324
24,multipl,0.9989746809005737,initi,0.9991768002510071
25,patchi,0.9989709258079529,abnorm,0.9991742968559265
26,distribut,0.9989688992500305,includ,0.9991734027862549
27,demograph,0.9989675879478455,suggest,0.9991694688796997
28,3,0.9989664554595947,describ,0.9991644620895386
29,xray,0.9989633560180664,distribut,0.9991555213928223
30,lung,0.9989611506462097,result,0.9991480708122253
31,includ,0.9989581108093262,histori,0.9991465210914612
32,accord,0.9989557266235352,rtpcr,0.9991457462310791
33,unilater,0.998955249786377,6,0.9991448521614075
34,suggest,0.9989544153213501,avail,0.9991441965103149
35,describ,0.9989475011825562,first,0.9991366863250732
36,underw,0.9989458322525024,bilater,0.999132513999939
37,ddpcr,0.998940110206604,epidemiolog,0.9991275668144226
38,involv,0.9989382028579712,pulmonari,0.9991216659545898
39,reaction,0.9989360570907593,well,0.9991176128387451
40,result,0.9989265203475952,guidelin,0.999117374420166
41,conclus,0.9989098310470581,help,0.9991132616996765
42,singl,0.9989097118377686,outcom,0.9991128444671631
43,improv,0.9989069104194641,accord,0.9991106986999512
44,first,0.9989066123962402,asymptomat,0.9991106986999512
45,effus,0.9989025592803955,import,0.9991100430488586
46,epidemiolog,0.9989020824432373,followup,0.9991098642349243
47,asymptomat,0.9988991022109985,conclus,0.9991090297698975
48,guidelin,0.998898983001709,addit,0.9991086721420288
49,outcom,0.9988960027694702,role,0.999108612537384
50,magnet,0.9988949298858643,combin,0.9991058111190796
51,followup,0.9988929033279419,xray,0.9990989565849304
52,chang,0.9988870620727539,lung,0.9990980625152588
53,groundglass,0.9988846778869629,signific,0.9990942478179932
54,identifi,0.9988701343536377,pregnanc,0.9990922808647156
55,contact,0.9988690614700317,improv,0.9990898966789246
56,initi,0.9988689422607422,earli,0.9990890622138977
57,use,0.998866617679596,recommend,0.9990884065628052
58,manag,0.9988651275634766,infiltr,0.9990870952606201
59,discharg,0.9988642930984497,13,0.9990847706794739
60,advanc,0.9988638162612915,identifi,0.9990833401679993
61,radiolog,0.9988602995872498,3,0.999082088470459
62,6,0.9988582134246826,chang,0.9990800619125366
63,addit,0.9988560676574707,howev,0.9990799427032471
64,viral,0.9988540410995483,obtain,0.9990727305412292
65,found,0.9988536834716797,found,0.9990702867507935
66,howev,0.9988526701927185,need,0.9990666508674622
67,evalu,0.9988436698913574,without,0.9990646839141846
68,avail,0.9988420605659485,normal,0.9990642666816711
69,observ,0.9988395571708679,evalu,0.9990589022636414
70,present,0.9988377094268799,effus,0.9990578889846802
71,abdomin,0.9988336563110352,assay,0.9990578889846802
72,obtain,0.9988324046134949,unilater,0.9990570545196533
73,13,0.9988304972648621,contact,0.9990537166595459
74,infiltr,0.9988276958465576,singl,0.9990525841712952
75,combin,0.9988276958465576,one,0.9990516901016235
76,inform,0.9988275766372681,gastrointestin,0.9990502595901489
77,radiographi,0.998823344707489,characterist,0.9990500211715698
78,studi,0.9988225102424622,4,0.9990493655204773
79,recommend,0.9988217949867249,15,0.9990483522415161
80,provid,0.9988201856613159,specif,0.999045193195343
81,specif,0.9988186359405518,cours,0.9990425109863281
82,small,0.9988181591033936,among,0.9990389347076416
83,histori,0.9988175630569458,diagnos,0.9990374445915222
84,assay,0.9988157153129578,area,0.9990346431732178
85,10,0.9988150000572205,understand,0.9990344643592834
86,role,0.9988123178482056,nuclear,0.9990344643592834
87,ultrasound,0.9988111853599548,10,0.999033510684967
88,pulmonari,0.9988111257553101,children,0.9990333318710327
89,sign,0.9988091588020325,cluster,0.9990321397781372
90,nuclear,0.9988078474998474,clinician,0.999029815196991
91,15,0.9988073110580444,manag,0.9990290403366089
92,aim,0.9988067150115967,involv,0.999026894569397
93,4,0.9988042116165161,peripher,0.999024510383606
94,well,0.9988004565238953,relat,0.9990222454071045
95,exposur,0.9987971186637878,abdomin,0.9990218877792358
96,count,0.9987948536872864,treatment,0.9990211725234985
97,characterist,0.9987947940826416,perform,0.9990171790122986
98,less,0.9987926483154297,inform,0.9990163445472717
99,evid,0.9987914562225342,sign,0.9990134239196777
100,perform,0.99878990650177,observ,0.999011754989624
101,subpleur,0.9987856149673462,medic,0.9990113973617554
102,earli,0.9987854957580566,comorbid,0.9990109801292419
103,signific,0.9987853765487671,case,0.9990105032920837
104,help,0.9987847805023193,small,0.9990098476409912
105,import,0.9987837076187134,ultrasound,0.9990097880363464
106,yet,0.9987832307815552,monitor,0.9990047812461853
107,shadow,0.9987826347351074,18,0.9989988207817078
108,five,0.9987703561782837,index,0.9989979267120361
109,pleural,0.998767614364624,patchi,0.9989975690841675
110,agent,0.9987668991088867,thyroid,0.9989966154098511
111,clinician,0.9987667202949524,groundglass,0.998996376991272
112,consolid,0.9987664222717285,shadow,0.9989926815032959
113,differ,0.9987661838531494,five,0.9989909529685974
114,approach,0.9987651705741882,failur,0.9989884495735168
115,travel,0.9987637996673584,reson,0.9989873766899109
116,secondari,0.9987637400627136,present,0.9989858269691467
117,cluster,0.9987635016441345,yet,0.9989852905273438
118,total,0.998761773109436,evid,0.9989830255508423
119,area,0.9987598061561584,use,0.9989802241325378
120,medic,0.9987587928771973,sex,0.9989784359931946
121,peripher,0.9987578392028809,pregnant,0.9989770650863647
122,relat,0.9987574815750122,continu,0.9989763498306274
123,rate,0.9987572431564331,discharg,0.9989757537841797
124,target,0.9987568259239197,provid,0.9989733695983887
125,therefor,0.9987545609474182,exposur,0.9989688396453857
126,18,0.9987541437149048,gener,0.9989683032035828
127,51,0.9987517595291138,origin,0.9989680051803589
128,discuss,0.998751699924469,5,0.9989676475524902
129,protein,0.9987507462501526,progress,0.9989660382270813
130,lobe,0.9987505078315735,unknown,0.9989652633666992
131,white,0.9987496733665466,investig,0.9989652633666992
132,5,0.9987496733665466,collect,0.9989644885063171
133,pregnanc,0.9987480640411377,radiologist,0.998963475227356
134,sex,0.9987444877624512,viral,0.9989629983901978
135,one,0.9987432956695557,less,0.9989601969718933
136,system,0.9987419843673706,rate,0.9989591240882874
137,summar,0.9987417459487915,30,0.9989585280418396
138,case,0.9987400770187378,highlight,0.9989583492279053
139,major,0.998737633228302,decreas,0.9989578723907471
140,failur,0.9987374544143677,differ,0.9989556670188904
141,brain,0.9987351894378662,discuss,0.998955488204956
142,throat,0.9987348914146423,aim,0.9989540576934814
143,healthcar,0.9987344741821289,therefor,0.9989532828330994
144,asphyxia,0.9987330436706543,main,0.9989531636238098
145,women,0.9987310767173767,system,0.9989523887634277
146,admiss,0.9987306594848633,magnet,0.9989509582519531
147,retrospect,0.9987304210662842,pictur,0.9989506602287292
148,reson,0.9987294673919678,variou,0.9989503622055054
149,recov,0.9987277984619141,radiographi,0.9989500045776367
150,highli,0.9987272024154663,onset,0.9989498257637024
151,among,0.9987268447875977,stage,0.998949408531189
152,classif,0.9987248778343201,total,0.9989477396011353
153,30,0.9987197518348694,even,0.9989473819732666
154,genom,0.9987176656723022,diagnosi,0.9989466667175293
155,nasopharyng,0.9987159967422485,sat,0.9989456534385681
156,fluid,0.998714804649353,accompani,0.9989451169967651
157,seven,0.9987143278121948,suspect,0.9989427328109741
158,similar,0.9987143278121948,17,0.9989423751831055
159,children,0.9987136125564575,women,0.9989394545555115
160,decreas,0.9987128973007202,ddpcr,0.9989386200904846
161,degre,0.9987119436264038,cell,0.9989383220672607
