,ct,cos,mask,cos
0,agmp,0.41894081234931946,sarscov2,0.9723600745201111
1,safeti,0.3960501551628113,patient,0.9686080813407898
2,percept,0.39496105909347534,hcw,0.9675112366676331
3,environment,0.37890124320983887,day,0.9674563407897949
4,n1,0.3706429898738861,covid19,0.9668986201286316
5,grade,0.36578088998794556,use,0.9661550521850586
6,self‐protect,0.3649079501628876,prevent,0.9642543792724609
7,level,0.3554542660713196,transmiss,0.9640482664108276
8,period,0.352716863155365,infect,0.9638515114784241
9,rapidli,0.34952881932258606,effect,0.9619345664978027
10,worldwid,0.3468533754348755,pandem,0.9615529775619507
11,new,0.34532636404037476,protect,0.9613913893699646
12,room,0.34305715560913086,measur,0.9613102674484253
13,valv,0.34289222955703735,particip,0.9609775543212891
14,nonus,0.34219497442245483,result,0.9609693288803101
15,51000,0.3411218523979187,studi,0.959621787071228
16,staff,0.338794082403183,wear,0.9593379497528076
17,disord,0.3379735052585602,among,0.9585344195365906
18,conclus,0.3358820378780365,test,0.9552043676376343
19,abil,0.3355675935745239,spread,0.954712986946106
20,collect,0.33328771591186523,may,0.9513533115386963
21,member,0.33263099193573,sampl,0.9511551856994629
22,till,0.3321540355682373,evid,0.9510923624038696
23,medic,0.3318488597869873,aerosol,0.9506502151489258
24,taken,0.32876044511795044,health,0.9501838088035583
25,sourc,0.3268911838531494,case,0.9499192237854004
26,especi,0.32646697759628296,contact,0.9495377540588379
27,contract,0.3247146010398865,risk,0.949339747428894
28,may,0.32345762848854065,viru,0.9491198658943176
29,fatal,0.32299286127090454,care,0.9478535652160645
30,2019,0.32185250520706177,air,0.946864664554596
31,neonat,0.32098981738090515,current,0.9458215236663818
32,concern,0.3206526041030884,differ,0.944074273109436
33,care,0.31952905654907227,includ,0.9438387751579285
34,gener,0.31901925802230835,public,0.9435586929321289
35,daili,0.31836944818496704,hospit,0.9435272216796875
36,dynam,0.318236768245697,healthcar,0.9429785013198853
37,chang,0.31820398569107056,droplet,0.9423274993896484
38,region,0.3181871175765991,recommend,0.9422372579574585
39,suggest,0.31776678562164307,face,0.9415045976638794
40,nosocomi,0.3172418475151062,2020,0.9398835897445679
41,practic,0.316455602645874,diseas,0.9381232857704163
42,blind,0.3162233233451843,vaccin,0.938085675239563
43,correspond,0.3155679404735565,person,0.9379827976226807
44,present,0.3144354820251465,clinic,0.9375364780426025
45,incub,0.31416207551956177,symptom,0.9375158548355103
46,report,0.3140583038330078,medic,0.9371553659439087
47,contact,0.3131050169467926,practic,0.9357736110687256
48,long,0.312980979681015,caus,0.9355651140213013
49,infecti,0.3128446638584137,time,0.9350807666778564
50,total,0.3128027319908142,report,0.9350565075874329
51,among,0.31270313262939453,method,0.9344004988670349
52,world,0.31261539459228516,surgic,0.9325618743896484
53,drug,0.3124784529209137,develop,0.9313074946403503
54,mode,0.31222647428512573,staff,0.9305555820465088
55,2,0.3118098974227905,posit,0.9304969310760498
56,risk,0.31106138229370117,coronaviru,0.9300559759140015
57,true,0.31088754534721375,respiratori,0.929527223110199
58,day,0.3108377754688263,control,0.9293614625930786
59,2020,0.31072044372558594,suggest,0.9286853075027466
60,assess,0.30968713760375977,gener,0.9283091425895691
61,avail,0.3091803193092346,appropri,0.9281577467918396
62,mother,0.3091399669647217,1,0.927700400352478
63,appear,0.30753815174102783,worker,0.9273364543914795
64,result,0.3070940375328064,intervent,0.9271938800811768
65,first,0.30704331398010254,review,0.9268026351928711
66,anywher,0.30689141154289246,high,0.9254519939422607
